day,group,price
2025-04-28,medium,59.99
2025-04-29,medium,59.99
2025-05-08,medium,59.99
2025-05-12,medium,59.99
2025-05-13,medium,59.99
2024-09-07,medium,60.0
2024-09-26,medium,60.06
2025-02-28,medium,61.0
2024-12-07,medium,61.19
2025-02-08,medium,61.64
2024-08-22,medium,62.79
2024-06-25,medium,62.95
2024-07-05,medium,63.6
2024-08-05,medium,63.63
2024-10-26,medium,65.0
2024-08-03,medium,65.84
2024-07-14,medium,65.98
2024-08-09,medium,65.98
2025-01-01,medium,65.98
2025-01-04,medium,65.98
2025-03-17,medium,65.98
2024-08-08,medium,67.73
2024-07-04,medium,67.79
2024-07-03,medium,68.08
2024-09-18,medium,68.98
2025-04-23,medium,68.98
2025-05-06,medium,68.98
2025-05-09,medium,68.98
2025-05-10,medium,68.98
2025-05-14,medium,68.98
2025-05-18,medium,68.98
2025-05-19,medium,68.98
2024-09-08,medium,69.0
2024-12-18,medium,69.0
2024-07-22,medium,69.92
2025-04-22,medium,70.0
2024-10-30,medium,71.85
2024-08-30,medium,71.98
2025-05-11,medium,72.34
2024-09-15,medium,72.98
2024-09-12,medium,73.26
2025-03-14,medium,73.37
2024-09-01,medium,73.52
2025-02-14,medium,73.67
2024-07-20,medium,73.79
2024-10-24,medium,75.98
2025-01-03,medium,77.04
2024-08-17,medium,77.43
2025-02-13,medium,77.94
2025-03-15,medium,77.94
2025-01-02,high,77.98
2025-03-13,high,77.98
2025-03-28,high,77.98
2024-07-07,high,78.25
2024-08-18,high,78.98
2025-02-15,high,78.98
2025-02-16,high,78.98
2025-02-17,high,78.98
2025-04-01,high,78.98
2025-05-03,high,78.98
2025-05-16,high,78.98
2025-05-20,high,78.98
2025-05-22,high,78.98
2025-06-05,high,78.98
2025-06-10,high,78.98
2025-05-24,high,79.98
2025-05-17,high,80.48
2025-04-15,high,81.64
2024-10-28,high,81.98
2024-07-06,high,82.06
2025-05-25,high,82.23
2024-06-19,high,83.0
2024-10-29,high,83.82
2024-07-21,high,83.99
2024-12-19,high,85.0
2024-06-26,high,85.98
2024-08-31,high,87.29
2024-06-23,high,89.09
2024-07-01,high,89.18
2024-11-01,high,89.99
2024-10-25,high,90.0
2024-07-13,high,90.17
2024-12-31,high,90.99
2024-12-30,high,92.0
2024-12-22,high,93.0
2024-06-21,high,93.4
2024-06-27,high,93.43
