day,group,price
2025-02-04,medium,63.99
2025-02-08,medium,63.99
2025-02-28,medium,63.99
2025-04-11,medium,63.99
2025-04-23,medium,63.99
2025-04-24,medium,63.99
2025-05-08,medium,63.99
2025-05-09,medium,63.99
2025-05-12,medium,63.99
2025-05-18,medium,63.99
2025-05-22,medium,63.99
2025-05-23,medium,63.99
2025-05-24,medium,63.99
2025-05-25,medium,63.99
2025-05-27,medium,63.99
2025-05-29,medium,63.99
2025-06-02,medium,63.99
2025-06-05,medium,63.99
2025-06-06,medium,63.99
2025-06-08,medium,63.99
2025-06-12,medium,63.99
2025-06-16,medium,63.99
2025-06-20,medium,63.99
2025-06-26,medium,63.99
2025-07-08,medium,63.99
2025-07-10,medium,63.99
2025-07-16,medium,63.99
2025-07-22,medium,63.99
2025-08-06,medium,63.99
2025-08-07,medium,63.99
2025-08-21,medium,63.99
2025-08-25,medium,63.99
2025-08-28,medium,63.99
2024-09-16,medium,64.01
2024-09-13,medium,64.9
2025-06-15,medium,64.98
2025-08-11,medium,64.98
2024-09-09,medium,66.02
2024-10-28,medium,67.18
2025-05-04,medium,68.19
2024-09-27,medium,69.09
2024-12-12,medium,71.04
2025-05-10,medium,71.04
2025-05-16,medium,71.67
2024-09-14,high,72.45
2024-12-05,high,72.5
2025-02-06,high,72.95
2025-02-10,high,73.98
2025-02-15,high,73.98
2025-03-23,high,73.98
2025-04-12,high,73.98
2025-04-13,high,73.98
2025-04-20,high,73.98
2025-05-02,high,73.98
2025-05-03,high,73.98
2025-05-11,high,73.98
2025-05-26,high,73.98
2025-05-30,high,73.98
2025-06-01,high,73.98
2025-06-07,high,73.98
2025-06-13,high,73.98
2025-06-14,high,73.98
2025-06-21,high,73.98
2025-06-24,high,73.98
2025-06-30,high,73.98
2025-07-02,high,73.98
2025-07-06,high,73.98
2025-07-11,high,73.98
2025-07-12,high,73.98
2025-07-19,high,73.98
2025-07-21,high,73.98
2025-07-25,high,73.98
2025-07-27,high,73.98
2025-07-30,high,73.98
2025-07-31,high,73.98
2025-08-01,high,73.98
2025-08-08,high,73.98
2025-08-22,high,73.98
2025-08-24,high,73.98
2025-08-29,high,73.98
2025-08-31,high,73.98
2024-11-28,high,74.44
2024-12-23,high,74.44
2024-12-24,high,74.44
2025-03-14,high,74.44
2024-09-22,high,74.95
2025-07-20,high,74.98
2025-07-28,high,74.98
2025-08-03,high,74.98
2025-03-13,high,75.09
2024-12-19,high,75.59
2025-04-19,high,78.79
2025-04-21,high,78.79
2025-04-22,high,78.79
2024-09-07,high,81.22
2024-09-08,high,83.08
2024-10-25,high,83.18
2025-03-15,high,84.99
2025-05-19,high,84.99
