day,group,price
2025-07-09,medium,61.14
2025-07-15,medium,61.14
2025-07-16,medium,61.14
2025-07-17,medium,61.14
2025-07-18,medium,61.14
2025-07-21,medium,61.14
2025-08-06,medium,61.14
2025-08-09,medium,61.14
2025-05-10,medium,62.11
2025-05-23,medium,62.14
2025-05-11,medium,62.18
2024-09-13,medium,62.24
2024-09-08,medium,62.39
2024-10-26,medium,62.44
2024-09-20,medium,62.83
2025-01-09,high,63.99
2025-01-11,high,63.99
2025-01-12,high,63.99
2025-01-13,high,63.99
2025-01-16,high,63.99
2025-01-19,high,63.99
2025-01-20,high,63.99
2025-01-23,high,63.99
2025-01-25,high,63.99
2025-02-02,high,63.99
2025-02-04,high,63.99
2025-02-06,high,63.99
2025-02-12,high,63.99
2025-02-22,high,63.99
2025-02-23,high,63.99
2025-02-24,high,63.99
2025-02-27,high,63.99
2025-03-29,high,63.99
2025-03-31,high,63.99
2025-04-02,high,63.99
2025-04-03,high,63.99
2025-04-04,high,63.99
2025-04-05,high,63.99
2025-04-06,high,63.99
2025-04-10,high,63.99
2025-04-11,high,63.99
2025-04-12,high,63.99
2025-04-13,high,63.99
2025-04-14,high,63.99
2025-04-15,high,63.99
2025-04-18,high,63.99
2025-04-19,high,63.99
2025-04-23,high,63.99
2025-04-24,high,63.99
2025-04-25,high,63.99
2025-04-26,high,63.99
2025-04-27,high,63.99
2025-04-30,high,63.99
2025-05-03,high,63.99
2025-05-07,high,63.99
2025-05-19,high,63.99
2025-05-29,high,63.99
2025-06-06,high,63.99
2025-06-09,high,63.99
2025-06-10,high,63.99
2025-06-13,high,63.99
2025-06-15,high,63.99
2025-06-19,high,63.99
2025-06-22,high,63.99
2025-07-02,high,63.99
2025-07-08,high,63.99
2025-07-23,high,63.99
2025-07-29,high,63.99
2025-07-30,high,63.99
2025-08-19,high,63.99
2025-08-20,high,63.99
2025-08-26,high,63.99
2025-09-03,high,63.99
2025-09-04,high,63.99
2025-05-02,high,64.64
2025-05-25,high,64.64
2025-06-27,high,64.64
2025-07-13,high,64.64
2025-07-27,high,64.64
2025-04-20,high,64.98
2024-12-26,high,66.0
2025-05-04,high,66.19
2024-12-27,high,66.73
2024-10-25,high,68.62
2024-09-27,high,72.89
2025-05-01,high,73.98
2025-05-05,high,73.98
2025-05-08,high,73.98
2025-05-09,high,73.98
2025-05-15,high,73.98
2025-05-17,high,73.98
2025-05-22,high,73.98
2025-05-24,high,73.98
2025-05-26,high,73.98
2025-05-31,high,73.98
2025-06-07,high,73.98
2025-06-08,high,73.98
2025-06-12,high,73.98
2025-06-16,high,73.98
2025-06-21,high,73.98
2025-07-10,high,73.98
2025-07-12,high,73.98
2025-07-19,high,73.98
2025-07-24,high,73.98
2025-07-28,high,73.98
2025-07-31,high,73.98
2025-08-02,high,73.98
2025-08-04,high,73.98
2025-08-07,high,73.98
2025-08-23,high,73.98
2025-08-25,high,73.98
2025-08-11,high,74.98
2025-08-14,high,74.98
2025-08-21,high,74.98
2025-02-07,high,83.99
2025-02-08,high,83.99
2025-02-09,high,83.99
2025-05-30,high,83.99
2025-07-04,high,83.99
2025-07-11,high,83.99
2025-07-20,high,83.99
2025-07-25,high,83.99
2025-08-01,high,83.99
2025-08-03,high,83.99
2025-08-08,high,83.99
2025-08-10,high,83.99
2025-08-22,high,83.99
2025-08-24,high,83.99
2025-08-28,high,83.99
2025-09-02,high,83.99
2025-03-17,high,95.99
2025-03-18,high,95.99
2025-08-16,high,95.99
2025-08-18,high,95.99
2024-09-09,high,98.66
2024-12-29,high,107.94
2024-09-06,high,108.99
2025-08-17,high,108.99
2024-09-07,high,109.06
2025-08-15,high,109.99
2025-08-29,high,124.99
2025-03-16,high,141.99
2024-12-25,high,154.2
2025-02-16,high,169.99
2024-09-05,high,1649.85
